epoch,phase,scale_factor_at,baryon_pressure,metric_lapse_alpha,bounce_count
1,GRAVITATIONAL CRUNCH,1.0,28.2148,0.00660403,1
100,GRAVITATIONAL CRUNCH,1.020815,19.8603,0.01735159,100
200,GRAVITATIONAL CRUNCH,1.086336,22.6965,0.00682287,200
300,GRAVITATIONAL CRUNCH,1.205158,15.2139,0.01843745,300
400,GRAVITATIONAL CRUNCH,1.39373,15.3144,0.08699121,391
500,GRAVITATIONAL CRUNCH,1.680199,14.4782,0.12944747,392
600,GRAVITATIONAL CRUNCH,2.11146,13.2267,0.13631099,392
700,BIG BANG (HUBBLE FLOW),2.765907,12.5566,0.20013933,392
800,BIG BANG (HUBBLE FLOW),3.776742,10.1668,0.28538549,392
900,BIG BANG (HUBBLE FLOW),5.375447,9.4233,0.30435314,392
1000,BIG BANG (HUBBLE FLOW),7.974838,9.0047,0.43132549,392
