Epoch,Bulk_Bits,Horizon_Bits,Vacuum_Bits,Total_Integrity,Hubble_H,Scale_Factor_a,Avg_Lapse_Alpha,Notable_Events
1,0,0,964,1000,0.01581,1.02,1.0000,*** [NODE 3] Recombined Matter. | *** [NODE 7] Recombined Matter.
2,36,0,932,1000,0.01544,1.03,0.5030,*** [NODE 3] Recombined Matter. | *** [NODE 7] Recombined Matter.
3,68,0,932,1000,0.01510,1.05,0.1945,!!! [HOLOGRAPHIC SHIFT] Mass converted.
4,51,17,919,1000,0.01477,1.06,0.1349,*** [NODE 5] Recombined Matter. | *** [NODE 0] Recombined Matter.
5,64,17,919,1000,0.01447,1.08,0.1520,!!! [HOLOGRAPHIC SHIFT] Mass converted.
6,53,28,914,1000,0.01417,1.09,0.1251,*** [NODE 4] Recombined Matter.
7,58,28,911,1000,0.01390,1.10,0.1505,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
8,56,33,909,1000,0.01364,1.12,0.1419,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
9,55,36,904,1000,0.01339,1.13,0.1553,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
10,58,38,899,1000,0.01315,1.14,0.1559,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
11,58,43,894,1000,0.01292,1.16,0.1543,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
12,58,48,892,1000,0.01271,1.17,0.1592,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
13,55,53,890,1000,0.01250,1.18,0.1567,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
14,55,55,885,1000,0.01230,1.19,0.1584,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
15,58,57,883,1000,0.01211,1.21,0.1581,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
16,55,62,880,1000,0.01193,1.22,0.1598,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
17,56,64,875,1000,0.01176,1.23,0.1574,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
18,58,67,872,1000,0.01159,1.24,0.1564,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
19,56,72,867,1000,0.01143,1.25,0.1511,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
20,58,75,862,1000,0.01127,1.26,0.1485,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
21,58,80,858,1000,0.01112,1.28,0.1502,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
22,57,85,854,1000,0.01098,1.29,0.1493,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
23,57,89,848,1000,0.01084,1.30,0.1574,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
24,59,93,844,1000,0.01070,1.31,0.1549,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
25,57,99,841,1000,0.01057,1.32,0.1586,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
26,56,103,838,1000,0.01044,1.33,0.1576,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
27,56,106,835,1000,0.01032,1.34,0.1498,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
28,56,109,829,1000,0.01020,1.35,0.1570,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
29,59,112,823,1000,0.01009,1.36,0.1562,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
30,59,118,819,1000,0.00997,1.37,0.1574,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
31,57,124,813,1000,0.00986,1.38,0.1614,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
32,59,128,809,1000,0.00976,1.39,0.1567,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
33,57,134,805,1000,0.00966,1.40,0.1565,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
34,57,138,801,1000,0.00956,1.41,0.1632,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
35,57,142,797,1000,0.00946,1.42,0.1602,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
36,57,146,792,1000,0.00936,1.43,0.1623,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
37,58,150,789,1000,0.00927,1.44,0.1571,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
38,56,155,785,1000,0.00918,1.45,0.1602,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
39,57,158,779,1000,0.00910,1.45,0.1584,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
40,59,162,776,1000,0.00901,1.46,0.1569,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
41,56,168,772,1000,0.00893,1.47,0.1628,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
42,57,171,769,1000,0.00885,1.48,0.1651,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
43,56,175,765,1000,0.00877,1.49,0.1620,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
44,57,178,761,1000,0.00869,1.50,0.1619,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
45,57,182,757,1000,0.00861,1.51,0.1618,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
46,57,186,753,1000,0.00854,1.52,0.1621,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
47,57,190,749,1000,0.00847,1.52,0.1636,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
48,57,194,745,1000,0.00840,1.53,0.1598,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
49,57,198,741,1000,0.00833,1.54,0.1576,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
50,57,202,737,1000,0.00826,1.55,0.1665,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
51,57,206,733,1000,0.00820,1.56,0.1637,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
52,57,210,728,1000,0.00813,1.57,0.1635,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
53,58,214,723,1000,0.00807,1.57,0.1635,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
54,58,219,720,1000,0.00801,1.58,0.1623,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
55,56,224,715,1000,0.00795,1.59,0.1645,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
56,58,227,710,1000,0.00789,1.60,0.1632,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
57,58,232,705,1000,0.00783,1.61,0.1596,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
58,58,237,702,1000,0.00777,1.61,0.1594,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
59,56,242,697,1000,0.00771,1.62,0.1663,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
60,58,245,694,1000,0.00766,1.63,0.1642,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
61,56,250,689,1000,0.00761,1.64,0.1668,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
62,58,253,685,1000,0.00755,1.64,0.1645,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
63,57,258,683,1000,0.00750,1.65,0.1652,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
64,55,262,678,1000,0.00745,1.66,0.1581,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
65,58,264,673,1000,0.00740,1.67,0.1658,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
66,58,269,669,1000,0.00735,1.67,0.1635,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
67,57,274,665,1000,0.00730,1.68,0.1637,!!! [HOLOGRAPHIC SHIFT] Mass converted. | *** [NODE 4] Recombined Matter.
